__3_segundos	"3 segundos"	"3 seconds"
__Transponder_encontrado	"Transponder encontrado!"	"Transponder found!"
__Transponder_nao_encontrado	"Transponder não encontrado!"	"Transponder not found!"
__TV_Publica	"TV Pública"	"Government Channels"
__Uma_vez	"Uma vez"	"Once"
__Universal	"Universal"	"Universal"
__Utilize_as_teclas_para_adicionar_satelite_e_para_excluir	"Utilize as teclas  +   para adicionar satélite e   =   para excluir"	"Use keys  +   to add satellite and   =   to delete"
__USB_inserido	"USB inserido"	"USB plugged in"
__USB_removido	"USB removido"	"USB removed"
__Ver_termos_condicoes_pressione_cc	"Ver Termo e Condições: Pressione --cc--"	"To see conditions and terms: Press --cc--"
__Verificando_se_existe_uma_nova_versao	"Verificando se existe uma nova versão de lista de canais disponível"	"Checking if a new channel list version is available"
__Verificando_sua_instalacao	"Verificando sua instalação."	"Checking your instalation."
__Verifique_sua_instalacao	"Verifique sua instalação."	"Check your instalation."
__Versao_do_Software	"Versão do Software"	"Software Version"
__Vertical	"Vertical"	"Vertical"
__Video	"Vídeo"	"Video"
__Videos	"Vídeos"	"Videos"
__Voltar	"Voltar"	"Back"
__Weekday_Short_Sun	"Dom"	"Sun"
__Weekday_Short_Mon	"Seg"	"Mon"
__Weekday_Short_Tue	"Ter"	"Tue"
__Weekday_Short_Wed	"Qua"	"Web"
__Weekday_Short_Thu	"Qui"	"Thu"
__Weekday_Short_Fri	"Sex"	"Fri"
__Weekday_Short_Sat	"Sab"	"Sat"
__Zone_Id	"Zone ID"	"Zone ID"
__Buscando_canais_no_satelite	"Buscando canais no satélite %s"	"Searching for channels on satellite %s"
__Total_de_canais_encontrados	"Total de canais encontrados: %d"	"Total channels found: %d"
__Filtrando_servicos_de_TV_e_Radio	"Filtrando canais de TV e Rádio"	"Filtering TV and Radio services"
__Busca_de_canais_finalizada	"Busca de canais finalizada."	"Channel search finished"
